start,end,ido seconds,ido data points,up/down,side,yoav on top,ido on top,ido speed,yoavc speed,yoav c speed new,ido heading,yoavc heading,ido vmg,yoavc vmg,,,,,,,,,
Tue 7 Mar 2023 14:59:10,Tue 7 Mar 2023 15:00:42,92,24,UP,Right,43.,57.,14.9,15,15.,286,90.5,3.4,7.8,,,,,,,,,
Tue 7 Mar 2023 15:00:42,Tue 7 Mar 2023 15:01:00,18,8,UP,Left,63.2,36.8,17.3,19.2,19.2,6.5,85.6,6.4,10.7,,,,,,,,,
Tue 7 Mar 2023 15:01:00,Tue 7 Mar 2023 15:01:17,17,7,UP,Right,,,17.9,19,19.,144.5,80.3,-1.2,13.3,,,,,,,,,
Tue 7 Mar 2023 15:02:23,Tue 7 Mar 2023 15:05:25,182,45,UP,Left,66.7,33.3,16.6,16.9,16.9,120.3,339.4,6.4,8.8,,,,,,,,,
Tue 7 Mar 2023 15:06:40,Tue 7 Mar 2023 15:09:00,140,51,UP,Right,63.1,36.9,16.3,16.3,16.3,215.3,88.2,2,9,,,,,,,,,
Tue 7 Mar 2023 15:10:35,Tue 7 Mar 2023 15:12:42,127,34,UP,Left,66.4,33.6,15.8,16.4,16.4,141.8,317.7,1.3,1.4,,,,,,,,,
Tue 7 Mar 2023 15:35:12,Tue 7 Mar 2023 15:36:50,98,35,DOWN,Left,63.6,36.4,22,22.2,22.2,187.7,259.2,-14.1,-15.2,,,,,,,,,
Tue 7 Mar 2023 15:37:55,Tue 7 Mar 2023 15:38:30,35,9,DOWN,Left,50.,50.,16.9,17.4,17.4,274.6,90,-6.1,9.3,,,,,,,,,
Tue 7 Mar 2023 15:38:30,Tue 7 Mar 2023 15:39:26,56,16,UP,Right,36.8,63.2,16.6,17.5,17.5,4.4,86.2,8.5,10.2,,,,,,,,,
Tue 7 Mar 2023 15:39:26,Tue 7 Mar 2023 15:39:46,20,7,DOWN,Left,100.,0.,17.4,19.7,19.7,215.5,88.2,-9.3,11,,,,,,,,,
Tue 7 Mar 2023 15:39:46,Tue 7 Mar 2023 15:39:53,7,3,UP,Right,100.,0.,17.6,19.1,19.1,145.1,82.5,0.7,12.8,,,,,,,,,
Tue 7 Mar 2023 15:41:54,Tue 7 Mar 2023 15:44:57,183,54,UP,Left,48.9,51.1,16.6,16.3,16.3,122.1,336.9,6.9,8.3,,,,,,,,,
Tue 7 Mar 2023 15:45:40,Tue 7 Mar 2023 15:47:24,104,33,UP,Right,64.8,35.2,16.2,16.5,16.5,202.4,88.3,4.4,9.1,,,,,,,,,
Tue 7 Mar 2023 15:47:24,Tue 7 Mar 2023 15:47:46,22,6,UP,Left,73.9,26.1,18.4,18.7,18.7,354.7,88.3,1,10.7,,,,,,,,,
Tue 7 Mar 2023 15:52:29,Tue 7 Mar 2023 15:53:58,89,37,DOWN,Left,0.,100.,20.1,1.5,1.5,170.7,171.8,-8.3,0.1,,,,,,,,,
Tue 7 Mar 2023 15:57:35,Tue 7 Mar 2023 15:59:34,119,35,DOWN,Right,66.7,33.3,20.1,20.4,20.4,296,145.7,-7.6,-8.8,,,,,,,,,
Tue 7 Mar 2023 15:59:34,Tue 7 Mar 2023 16:01:04,90,32,DOWN,Left,62.6,37.4,22.1,22.6,22.6,198.7,246.1,-16,-18.5,,,,,,,,,
Tue 7 Mar 2023 16:01:04,Tue 7 Mar 2023 16:02:42,98,36,DOWN,Right,81.2,18.8,20.2,17.8,17.8,292.4,144.2,-11.1,-7.8,,,,,,,,,
Tue 7 Mar 2023 16:02:42,Tue 7 Mar 2023 16:03:01,19,9,UP,Left,,,18.2,,,286.6,,3.1,,,,,,,,,,
Tue 7 Mar 2023 16:03:01,Tue 7 Mar 2023 16:04:44,103,32,UP,Right,,,17.6,,,8.4,,8.4,,,,,,,,,,
Tue 7 Mar 2023 16:04:44,Tue 7 Mar 2023 16:08:12,208,62,UP,Left,,,17.8,,,129.5,,4.9,,,,,,,,,,
Tue 7 Mar 2023 16:09:19,Tue 7 Mar 2023 16:09:55,36,10,UP,Right,,,10.2,,,344,,1.5,,,,,,,,,,
Tue 7 Mar 2023 16:09:55,Tue 7 Mar 2023 16:10:19,24,10,UP,Left,,,17.3,,,251.7,,3.5,,,,,,,,,,
